Nr,TID,PID,x [µm],y [µm],t [sec],I [val],Len [µm],D2S [µm],D2R [µm],D2P [µm],v [µm/sec],α [deg],Δα [deg]
1,1,1,94.336,165.169,0,57,0,0,NA,NA,NA,NA,NA
2,1,2,94.727,166.992,0.14,80,1.864,1.864,NA,1.864,13.316,77.905,NA
3,1,3,96.81,165.43,0.28,112,4.468,2.488,NA,2.604,18.601,-36.87,-114.775
4,1,4,97.461,165.951,0.42,111,5.302,3.221,NA,0.834,5.955,38.66,75.53
5,1,5,98.372,166.276,0.56,76,6.27,4.185,NA,0.968,6.913,19.654,-19.006
6,1,6,98.763,167.318,0.7,52,7.383,4.921,NA,1.113,7.946,69.444,49.79
7,1,7,99.349,163.281,0.84,135,11.461,5.357,NA,4.079,29.134,-81.741,-151.185
8,1,8,99.284,161.849,0.98,98,12.895,5.959,NA,1.434,10.241,-92.603,-10.862
9,1,9,100.781,161.003,1.12,73,14.615,7.675,NA,1.72,12.286,-29.476,63.127
10,1,10,98.698,160.156,1.26,123,16.864,6.645,NA,2.249,16.062,-157.891,-128.415
11,1,11,97.266,159.701,1.4,26,18.367,6.204,NA,1.503,10.736,-162.35,-4.459
12,1,12,97.591,158.789,1.54,23,19.335,7.163,NA,0.968,6.913,-70.346,92.004
13,1,13,97.396,158.008,1.68,84,20.14,7.788,NA,0.805,5.752,-104.036,-33.69
14,1,14,97.201,156.836,1.82,78,21.328,8.812,NA,1.188,8.486,-99.462,4.574
15,1,15,95.247,156.966,1.96,53,23.285,8.254,NA,1.957,13.982,176.186,-84.352
16,1,16,96.419,154.557,2.1,23,25.964,10.815,NA,2.679,19.134,-64.058,119.756
17,1,17,98.177,154.492,2.24,103,27.723,11.347,NA,1.759,12.564,-2.121,61.937
18,1,18,96.224,159.831,2.38,43,33.408,5.663,NA,5.685,40.604,110.095,112.216
19,1,19,96.615,152.604,2.52,111,40.645,12.77,NA,7.237,51.694,-86.906,162.999
20,2,1,104.622,92.904,0,69,0,0,NA,NA,NA,NA,NA
21,2,2,105.794,93.424,0.14,65,1.282,1.282,NA,1.282,9.16,23.962,NA
22,2,3,106.348,93.799,0.28,75,1.951,1.944,NA,0.668,4.772,34.077,10.115
23,2,4,107.129,94.141,0.42,47,2.803,2.795,NA,0.853,6.091,23.629,-10.448
24,2,5,107.471,94.238,0.56,47,3.159,3.145,NA,0.355,2.539,15.945,-7.684
25,2,6,107.52,95.41,0.7,87,4.332,3.831,NA,1.173,8.378,87.614,71.669
26,2,7,108.887,95.508,0.84,22,5.702,4.997,NA,1.371,9.791,4.086,-83.528
27,2,8,109.668,95.166,0.98,41,6.555,5.53,NA,0.853,6.091,-23.629,-27.715
28,2,12,111.67,96.191,1.12,15,8.804,7.777,NA,2.249,16.066,27.121,50.751
29,2,10,110.547,97.412,1.26,40,10.463,7.445,NA,1.659,11.848,132.614,105.493
30,2,11,110.889,96.729,1.4,33,11.227,7.341,NA,0.764,5.459,-63.435,163.951
31,2,13,111.67,96.191,1.68,24,12.175,7.777,NA,0.948,3.386,-34.509,28.926
32,2,14,112.256,97.168,1.82,32,13.314,8.744,NA,1.139,8.135,59.036,93.545
33,2,15,113.623,97.07,1.96,43,14.685,9.918,NA,1.371,9.791,-4.086,-63.122
34,2,16,114.648,96.24,2.1,11,16.004,10.567,NA,1.319,9.423,-38.991,-34.905
35,2,17,113.037,94.922,2.24,47,18.086,8.653,NA,2.082,14.871,-140.711,-101.72
36,2,18,114.746,94.629,2.38,27,19.82,10.27,NA,1.734,12.385,-9.728,130.983
37,2,19,116.504,94.189,2.52,22,21.632,11.951,NA,1.812,12.942,-14.036,-4.309
38,2,22,117.432,94.092,2.66,20,22.565,12.864,NA,0.933,6.663,-6.009,8.027
39,3,1,56.836,80.371,0,47,0,0,NA,NA,NA,NA,NA
40,3,2,56.852,79.688,0.14,23,0.684,0.684,NA,0.684,4.884,-88.636,NA
41,3,3,56.917,79.085,0.28,11,1.29,1.288,NA,0.606,4.327,-83.83,4.806
42,3,4,56.722,78.825,0.42,10,1.615,1.55,NA,0.326,2.325,-126.87,-43.04
43,3,5,56.51,78.548,0.56,12,1.963,1.852,NA,0.348,2.488,-127.405,-0.535
44,3,6,55.241,78.141,0.7,10,3.296,2.742,NA,1.333,9.522,-162.229,-34.823
45,3,7,55.778,77.555,0.84,23,4.091,3.008,NA,0.795,5.678,-47.49,114.739
46,3,8,55.322,77.376,0.98,16,4.581,3.356,NA,0.49,3.497,-158.552,-111.063
47,3,9,55.371,76.807,1.12,28,5.153,3.854,NA,0.572,4.084,-85.101,73.451
48,3,10,56.079,76.685,1.26,17,5.871,3.763,NA,0.718,5.132,-9.782,75.319
49,3,11,56.25,76.172,1.4,19,6.412,4.24,NA,0.54,3.86,-71.565,-61.783
50,3,12,56.592,75.61,1.54,17,7.069,4.767,NA,0.657,4.695,-58.671,12.894
51,3,13,56.494,75.049,1.68,13,7.639,5.333,NA,0.57,4.071,-99.866,-41.194
52,3,14,56.152,74.219,1.82,8,8.537,6.19,NA,0.898,6.412,-112.38,-12.514
53,3,15,56.909,74.023,1.96,14,9.318,6.348,NA,0.782,5.583,-14.47,97.91
54,3,16,57.251,73.34,2.1,23,10.083,7.043,NA,0.764,5.459,-63.435,-48.965
55,3,17,57.52,72.729,2.24,13,10.749,7.672,NA,0.667,4.763,-66.251,-2.816
56,3,18,58.301,72.559,2.38,31,11.549,7.949,NA,0.8,5.712,-12.339,53.911
57,3,19,58.691,72.144,2.52,15,12.119,8.434,NA,0.57,4.071,-46.736,-34.397
58,3,24,58.301,71.924,2.66,7,12.567,8.573,NA,0.448,3.201,-150.642,-103.907
59,4,1,66.471,28.581,0,91,0,0,NA,NA,NA,NA,NA
60,4,2,66.813,29.069,0.14,63,0.596,0.596,NA,0.596,4.257,55.008,NA
61,4,3,67.643,28.532,0.28,47,1.585,1.173,NA,0.989,7.062,-32.905,-87.913
62,4,4,68.359,29.215,0.42,54,2.575,1.992,NA,0.99,7.072,43.668,76.573
63,4,6,69.466,29.411,0.56,69,3.699,3.108,NA,1.124,8.028,10.008,-33.66
64,4,7,70.378,29.85,0.7,89,4.71,4.107,NA,1.012,7.228,25.741,15.733
65,4,8,71.257,28.776,0.84,78,6.098,4.789,NA,1.388,9.914,-50.711,-76.451
66,4,9,71.908,28.027,0.98,24,7.091,5.464,NA,0.992,7.087,-48.991,1.72
67,4,10,72.852,28.06,1.12,16,8.035,6.401,NA,0.945,6.747,1.975,50.966
68,4,11,72.493,27.214,1.26,18,8.954,6.175,NA,0.919,6.564,-112.932,-114.907
69,4,12,72.852,27.376,1.4,9,9.348,6.493,NA,0.393,2.809,24.444,137.376
70,4,13,73.438,26.595,1.54,15,10.324,7.244,NA,0.977,6.975,-53.13,-77.574
71,4,14,73.828,27.002,1.82,51,10.888,7.524,NA,0.564,2.014,46.169,99.299
72,4,15,74.561,27.734,1.96,70,11.924,8.133,NA,1.036,7.399,45,-1.169
73,4,16,74.854,28.467,2.1,45,12.713,8.383,NA,0.789,5.635,68.199,23.199
74,4,17,76.025,28.955,2.24,41,13.982,9.561,NA,1.27,9.068,22.62,-45.579
75,4,18,76.221,28.125,2.38,32,14.835,9.76,NA,0.853,6.091,-76.759,-99.379
76,4,19,75.439,30.762,2.52,39,17.585,9.229,NA,2.75,19.643,106.504,-176.736
77,4,20,75.586,31.885,2.66,36,18.718,9.695,NA,1.133,8.09,82.569,-23.936
78,5,1,47.461,66.602,0,76,0,0,NA,NA,NA,NA,NA
79,5,2,46.289,67.253,0.14,63,1.341,1.341,NA,1.341,9.576,150.945,NA
80,5,3,45.247,67.904,0.28,26,2.569,2.568,NA,1.228,8.774,147.995,-2.951
81,5,4,44.629,68.726,0.42,18,3.598,3.54,NA,1.029,7.347,126.961,-21.034
82,5,5,43.579,68.701,0.56,40,4.648,4.413,NA,1.05,7.501,-178.668,54.372
83,5,6,44.043,70.923,0.7,18,6.917,5.51,NA,2.27,16.211,78.207,-103.126
84,5,7,43.726,70.874,0.84,18,7.238,5.675,NA,0.321,2.294,-171.254,110.54
85,5,8,44.312,71.729,0.98,14,8.274,6.017,NA,1.036,7.401,55.561,-133.185
86,5,9,44.507,72.876,1.12,33,9.438,6.935,NA,1.164,8.314,80.34,24.779
87,5,10,43.335,73.413,1.26,38,10.728,7.964,NA,1.289,9.208,155.376,75.036
88,5,11,41.87,73.096,1.4,27,12.226,8.569,NA,1.499,10.706,-167.775,36.849
89,5,12,41.699,73.861,1.54,21,13.01,9.268,NA,0.784,5.599,102.593,-89.632
90,5,13,40.788,73.73,1.68,9,13.931,9.765,NA,0.921,6.577,-171.87,85.537
91,5,14,40.234,74.219,1.82,22,14.669,10.5,NA,0.738,5.271,138.576,-49.554
92,5,15,39.323,74.023,1.96,19,15.601,11.014,NA,0.932,6.658,-167.905,53.518
93,5,16,39.193,75.033,2.1,32,16.619,11.809,NA,1.017,7.268,97.352,-94.742
94,5,17,38.77,75.977,2.24,23,17.653,12.784,NA,1.035,7.389,114.146,16.793
95,5,18,39.29,76.823,2.38,47,18.647,13.086,NA,0.994,7.098,58.392,-55.753
96,5,19,38.932,78.092,2.52,16,19.966,14.31,NA,1.319,9.422,105.751,47.359
